SR,CODE,TOWNLAND,COUNTY,COUNTY_ID,BARONY,BARONY_ID,PARISH,PARISH_ID,1841_MALE,1841_FEMALE,1841_TOTAL_POPULATIONS,1841_INHABITED,1841_UNINHABITED,1841_TOTAL_HOUSES,1851_MALE,1851_FEMALE,1851_TOTAL_POPULATIONS,1851_INHABITED,1851_UNINHABITED,1851_TOTAL_HOUSES,1861_MALE,1861_FEMALE,1861_TOTAL_POPULATIONS,1861_INHABITED,1861_UNINHABITED,1861_TOTAL_HOUSES,1871_MALE,1871_FEMALE,1871_TOTAL_POPULATIONS,1871_INHABITED,1871_UNINHABITED,1871_TOTAL_HOUSES,1881_MALE,1881_FEMALE,1881_TOTAL_POPULATIONS,1881_INHABITED,1881_UNINHABITED,1881_TOTAL_HOUSES,1891_MALE,1891_FEMALE,1891_TOTAL_POPULATIONS,1891_INHABITED,1891_UNINHABITED,1891_TOTAL_HOUSES,MODERN_NAME,TOWNLAND_ID,OS_HECTARES,CENTRE_LAT,CENTRE_LNG,VRTI,Google_Drive_Link,Histogram_of_Male_and_Female,Male_to_Female_Ratio,Population_changes
1,260028,BALBRIGGAN,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6196,8714,14910,2796,177,2973,0,0,0,0,0,0,BALBRIGGAN,C_10_B_01_P_04_260028,131.737,53.60559,-6.17661,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260028_BALBRIGGAN,https://drive.google.com/uc?id=1_SjOWg90bglQ_oSZFlZS0z5x4k2Xv-V9,,,
2,260151,BLANCHARDSTOWN,DUBLIN,C_10,CASTLEKNOCK,C_10_B_02,CASTLEKNOCK,C_10_B_02_P_01,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775,1702,3477,327,19,346,0,0,0,0,0,0,BLANCHARDSTOWN,C_10_B_02_P_01_260151,183.336,53.38354,-6.37674,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_02_P_01_260151_BLANCHARDSTOWN,https://drive.google.com/uc?id=1u0-qki_Zh8zyBjvgr9Srz1188GKMkAu8,,,
4,260194,CABINTEELY,DUBLIN,C_10,RATHDOWN,C_10_B_06,KILL,C_10_B_06_P_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362,1611,2973,519,48,567,0,0,0,0,0,0,CABINTEELY,C_10_B_06_P_05_260194,108.913,53.26256,-6.1597,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_06_P_05_260194_CABINTEELY,https://drive.google.com/uc?id=1L6F4PxhJEIQQWHpT0w77qpoQdRXl5W-4,,,
7,260356,DUNDRUM,DUBLIN,C_10,RATHDOWN,C_10_B_06,TANEY,C_10_B_06_P_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2938,3202,6140,1065,55,1120,0,0,0,0,0,0,DUNDRUM,C_10_B_06_P_12_260356,128.539,53.28674,-6.24722,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_06_P_12_260356_DUNDRUM,https://drive.google.com/uc?id=1tiqqbZ-DvR78hcx-4ordBFPQRVdY6xFu,,,
8,260477,HOWTH,DUBLIN,C_10,COOLOCK,C_10_B_03,HOWTH,C_10_B_03_P_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,1008,1866,364,99,463,0,0,0,0,0,0,HOWTH,C_10_B_03_P_05_260477,493.513,53.37602,-6.06295,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_03_P_05_260477_HOWTH,https://drive.google.com/uc?id=1Ce713fC5vIFV5Tz9YoPrgttZWowcL-qj,,,
9,260600,LUCAN,DUBLIN,C_10,NEWCASTLE_AND_UPPERCROSS,C_10_B_05,LUCAN,C_10_B_05_P_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,2097,4068,790,37,827,0,0,0,0,0,0,LUCAN_AND_PETTYCANNON,C_10_B_05_P_11_260600,108.84,53.35451,-6.44844,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_05_P_11_260600_LUCAN_AND_PETTYCANNON,https://drive.google.com/uc?id=1W-ANXT12UZwIIWHLasWlTO-7GIg0zxNn,,,
10,260759,RATHCOOLE,DUBLIN,C_10,NEWCASTLE_AND_UPPERCROSS,C_10_B_05,RATHCOOLE,C_10_B_05_P_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310,1321,2631,522,8,530,0,0,0,0,0,0,RATHCOOLE,C_10_B_05_P_14_260759,169.179,53.27938,-6.46685,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_05_P_14_260759_RATHCOOLE,https://drive.google.com/uc?id=1-jROpM2jxLwbT42hXP_votfDG90nnAak,,,
11,260761,RATHFARNHAM,DUBLIN,C_10,NEWCASTLE_AND_UPPERCROSS,C_10_B_05,RATHFARNHAM,C_10_B_05_P_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1867,2137,4004,697,60,757,0,0,0,0,0,0,RATHFARNHAM,C_10_B_05_P_15_260761,243.017,53.296,-6.27841,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_05_P_15_260761_RATHFARNHAM,https://drive.google.com/uc?id=1fN5icBGLNqtgG39rkeIiAcI2Nc_DvccG,,,
13,260867,TALLAGHT,DUBLIN,C_10,NEWCASTLE_AND_UPPERCROSS,C_10_B_05,TALLAGHT,C_10_B_05_P_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2401,2109,4510,331,99,430,0,0,0,0,0,0,TALLAGHT,C_10_B_05_P_20_260867,425.091,53.28945,-6.35891,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_05_P_20_260867_TALLAGHT,https://drive.google.com/uc?id=1v8Y8IE8UWYkojyS9p8XO3STtgdncvCbt,,,
15,260158,BOOTERSTOWN,DUBLIN,C_10,RATHDOWN,C_10_B_06,BOOTERSTOWN,C_10_B_06_P_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,176,327,60,2,62,0,0,0,0,0,0,BOOTERSTOWN,C_10_B_06_P_01_260158,59.22,53.30509,-6.20236,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_06_P_01_260158_BOOTERSTOWN,https://drive.google.com/uc?id=18Vy410t8e3e_1x6mUcZzUAohETSNkrea,,,
